City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sambava,-14.2667,50.1667,292.92,79,13,3.87,MG,2022-10-20 00:06:03
1,Kapaa,22.0752,-159.319,300.33,74,75,8.75,US,2022-10-20 00:06:03
2,Tasiilaq,65.6145,-37.6368,274.24,97,100,3.44,GL,2022-10-20 00:06:04
3,Bredasdorp,-34.5322,20.0403,287.78,91,93,3.9,ZA,2022-10-20 00:06:04
4,Ribeira Grande,38.5167,-28.7,291.91,76,100,4.02,PT,2022-10-20 00:06:05
5,Grindavik,63.8424,-22.4338,278.41,93,75,5.66,IS,2022-10-20 00:06:06
6,Beira,-19.8436,34.8389,296.72,79,98,2.28,MZ,2022-10-20 00:06:06
7,Novyy Rogachik,48.6768,44.0608,282.65,59,100,2.65,RU,2022-10-20 00:06:07
8,Bom Jesus,-9.0744,-44.3586,304.21,28,78,2.58,BR,2022-10-20 00:06:08
9,Bluff,-46.6,168.3333,286.93,74,96,15.16,NZ,2022-10-20 00:06:09
10,Cabo San Lucas,22.8909,-109.9124,303.49,69,0,5.66,MX,2022-10-20 00:04:43
11,Asau,46.4333,26.4,281.66,90,64,1.04,RO,2022-10-20 00:06:11
12,San Cristobal,7.7669,-72.225,293.01,97,97,0.64,VE,2022-10-20 00:06:11
13,Podkumskiy,44.0756,43.2103,280.58,100,40,4.0,RU,2022-10-20 00:06:12
14,Hermanus,-34.4187,19.2345,289.15,90,88,5.34,ZA,2022-10-20 00:06:13
15,Butaritari,3.0707,172.7902,300.74,70,100,6.2,KI,2022-10-20 00:06:13
16,Pilar,-9.5972,-35.9567,294.51,84,40,2.09,BR,2022-10-20 00:06:13
17,Kasongo-Lunda,-6.4667,16.8167,294.19,97,64,0.65,CD,2022-10-20 00:06:14
18,Talnakh,69.4865,88.3972,273.27,97,100,5.95,RU,2022-10-20 00:06:15
19,Punta Arenas,-53.15,-70.9167,277.21,70,0,4.12,CL,2022-10-20 00:06:15
20,Avarua,-21.2078,-159.775,300.18,65,100,7.2,CK,2022-10-20 00:06:16
21,Daru,-9.0763,143.2092,301.71,74,91,3.36,PG,2022-10-20 00:06:16
22,Tiksi,71.6872,128.8694,263.88,88,93,6.55,RU,2022-10-20 00:06:17
23,Beringovskiy,63.05,179.3167,275.78,90,18,4.61,RU,2022-10-20 00:06:18
24,Alofi,-19.0595,-169.9187,298.77,72,1,1.12,NU,2022-10-20 00:06:18
25,Saint George,37.1041,-113.5841,302.56,15,0,1.54,US,2022-10-20 00:03:23
26,Dikson,73.5069,80.5464,273.26,98,100,9.03,RU,2022-10-20 00:06:19
27,Akcaabat,41.0212,39.5715,292.08,82,75,2.06,TR,2022-10-20 00:06:19
28,Jamestown,42.097,-79.2353,278.92,96,100,6.17,US,2022-10-20 00:06:20
29,Mount Isa,-20.7333,139.5,300.02,39,0,3.6,AU,2022-10-20 00:06:20
30,Ponta Delgada,37.7333,-25.6667,291.55,82,40,6.69,PT,2022-10-20 00:03:01
31,Preobrazheniye,42.9019,133.9064,285.44,74,0,6.12,RU,2022-10-20 00:06:21
32,Olafsvik,64.8945,-23.7142,280.21,82,100,8.41,IS,2022-10-20 00:06:21
33,Puerto Ayora,-0.7393,-90.3518,293.15,85,93,4.51,EC,2022-10-20 00:06:22
34,Gautier,30.3858,-88.6117,286.2,73,0,1.97,US,2022-10-20 00:04:13
35,Taoudenni,22.6783,-3.9836,302.6,15,73,6.57,ML,2022-10-20 00:06:23
36,Albany,42.6001,-73.9662,280.86,70,99,3.12,US,2022-10-20 00:00:28
37,Hobart,-42.8794,147.3294,291.51,57,20,2.57,AU,2022-10-20 00:02:27
38,Kahului,20.8947,-156.47,304.16,61,40,4.63,US,2022-10-20 00:06:24
39,Komsomolskiy,40.4272,71.7189,277.55,87,15,1.03,UZ,2022-10-20 00:06:24
40,Lavrentiya,65.5833,-171.0,275.4,87,100,11.53,RU,2022-10-20 00:06:25
41,Sabha,27.0377,14.4283,294.4,45,82,2.64,LY,2022-10-20 00:06:25
42,Thompson,55.7435,-97.8558,275.27,90,20,1.74,CA,2022-10-20 00:06:26
43,Busselton,-33.65,115.3333,289.88,81,97,3.94,AU,2022-10-20 00:06:26
44,Gander,48.9682,-54.5906,283.39,95,85,2.78,CA,2022-10-20 00:03:33
45,Longyearbyen,78.2186,15.6401,271.06,59,40,7.2,SJ,2022-10-20 00:06:27
46,Ambilobe,-13.2,49.05,291.97,76,3,2.13,MG,2022-10-20 00:07:28
47,Dembi Dolo,8.5333,34.8,286.98,93,100,1.49,ET,2022-10-20 00:07:28
48,Emba,48.8264,58.1442,281.43,57,62,5.92,KZ,2022-10-20 00:07:28
49,Torbay,47.6666,-52.7314,286.8,95,15,0.89,CA,2022-10-20 00:05:42
50,Tanout,14.9709,8.8879,299.5,23,9,4.24,NE,2022-10-20 00:07:29
51,Turukhansk,65.8167,87.9833,273.93,97,100,7.97,RU,2022-10-20 00:07:29
52,Nhamunda,-2.1861,-56.7131,300.25,70,100,1.43,BR,2022-10-20 00:07:30
53,Tura,25.5198,90.2201,292.56,77,19,2.17,IN,2022-10-20 00:07:30
54,Algiers,36.7525,3.042,290.05,68,0,1.03,DZ,2022-10-20 00:07:31
